"address","maker_trades_1wk","maker_avg_size","maker_unique_markets"
"0x818f214c7f3e479cce1d964d53fe3db7297558cb",1287768,4.4812,9737
"0xa45fe11dd1420fca906ceac2c067844379a42429",1040344,5.3273,5496
"0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82",959699,7.4655,2093
"0x38e598961dd0456a7fb2e758bd433d3e59fb8a4a",870502,4.0265,4312
"0xd0d6053c3c37e727402d84c14069780d360993aa",784954,9.2852,7772
"0xe594336603f4fb5d3ba4125a67021ab3b4347052",751686,8.3608,2716
"0x716445fe00d0a78172b8be46d216e08d15159db6",501585,5.3588,8754
"0x297fbd45782af37d899015aebbc52437f3d55103",501504,2.7621,4671
"0xa1303d0d0403549c93c9cdc2866def3b916ded0d",497641,9.42,6220
"0xd111ced402bac802f74606deca83bbf6a1eaaf32",497361,8.3476,6478
"0xd44e29936409019f93993de8bd603ef6cb1bb15e",485055,3.3545,1767
"0x437bfe05a1e169b1443f16e718525a88b6f283b2",474365,7.4997,6209
"0x70ec235a31eb35f243e2618d6ea3b5b8962bbb5d",460122,5.656,4493
"0x04895657d3c2afebec8be4b6e60b9c56ad68ee4d",456719,2.5664,3339
"0x52f8784a81d967a3afb74d2e1608503ff5e261b9",455648,7.403,6425
"0x39636344f4906695016c13a78a8cd4ea705b2b0b",447342,4.4786,2844
"0x63ce342161250d705dc0b16df89036c8e5f9ba9a",438170,14.0831,2704
"0x5bde889dc26b097b5eaa2f1f027e01712ebccbb7",433575,7.0564,5721
"0x19a15ee029467816eb96dc303d81ee4b2fe47698",432343,4.9232,6040
"0x29bc82f761749e67fa00d62896bc6855097b683c",426509,11.1581,4607
"0x2eb5714ff6f20f5f9f7662c556dbef5e1c9bf4d4",409578,17.7921,9595
"0x8648027882a7b78238f8aaf2506be73a5aa5bd2f",371624,5.1833,5487
"0x0cf773a21b04b9f267fea95a87813f74ca0cf03a",351836,4.4354,8293
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a",344511,11.2078,1642
"0xa84edaf1a562eabb463dc6cf4c3e9c407a5edbeb",321780,12.2155,6169
"0xd0459d96d20e60404f929034f11b9c37f2d0a1ff",308176,6.4209,4731
"0x454329bf4e237b7059244cfb3891337a2faf72d1",295725,4.6649,8463
"0x56bad0e7a00913c6e35c00dce3ec7f7cd6a311d7",289511,3.7865,2656
"0x1f0ebc543b2d411f66947041625c0aa1ce61cf86",285737,28.3138,4433
"0x00e95f35b28b33a22cc7cdbf08e3a1a09ee07458",274173,2.5077,1734
"0x0e432ec06ce36cb0acffc52b36138ff578bdfa38",273392,3.7139,1182
"0xb9fc8078fd6c0275c631ec10fcf8d5cc52d6da76",270862,3.7133,5674
"0xd2518ea4191f31668e94e448d0afbeccdedf4fcf",269396,2.4787,1763
"0xee0714438ffe7d387c572f8c7af9102bc83939c3",266341,2.4246,1696
"0xe80ee05df7917d674612cc6ef616fcb1c8168f85",265055,2.4099,1592
"0x732f189193d7a8c8bc8d8eb91f501a22736af081",263488,14.8022,9793
"0x2c0e683feac9b334b8cd15f4b0fbf34e37bd80f1",261810,2.2146,5147
"0xe00740bce98a594e26861838885ab310ec3b548c",258059,7.4046,1991
"0xc59c0058c745e6b1893f638f047f00b76820cf84",253280,2.4172,1651
"0x0e6b0fc1c58d2cf46bbed993f1b573f2ec73f237",251722,2.3747,1655
"0x1568915b183ae151f01787dd5fe609e71d668c0b",249322,2.4326,1653
"0x251246362a52e486f987df91de8d961e602d9030",244906,2.5962,1035
"0x5c2c8cf79f6f84bec7df40753f2c8fd5572379dc",241726,2.2884,1627
"0x89b5cdaaa4866c1e738406712012a630b4078beb",235416,5.3809,10267
"0xc48ef6e60386238a4eea07fc1658229c493ab243",234392,2.3529,1558
"0x576b0696fd5a9225d66fd9500fd98f5be10b0cab",230715,10.3568,4781
"0xd1ebe815f921b3ebbd8d9e0a4192c6ab18360f5c",229373,16.6096,3948
"0xdc669ba0adb45448020025f756070492d1070533",225957,6.3688,648
"0x2005d16a84ceefa912d4e380cd32e7ff827875ea",222961,80.4505,3593
"0x68146921df11eab44296dc4e58025ca84741a9e7",222562,30.8877,3825
"0xb0f85baa97990910a3e8ac2b4a58a322f01ecef5",219844,1.494,5301
"0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38",219814,3.1595,6232
"0x204f72f35326db932158cba6adff0b9a1da95e14",203582,108.3473,6283
"0xed86741e5223f1b72945f6c4002168b2588e78c7",202553,7.3111,1898
"0xb6108a4b6ef5894875d79ace589b38a462d6e6ae",200494,2.5208,1551
"0x08ea825d0f6189ce27c3d1168511e30072fd9984",195143,7.1059,6237
"0x86a29f88fcc23ea2b0e01b4e186b043e26c873a8",192639,2.6837,880
"0x61276aba49117fd9299707d5d573652949d5c977",188566,10.0086,1726
"0xf6963d4cdbb6f26d753bda303e9513132afb1b7d",186953,6.9717,5026
"0x36f7b5567ab8582ccd123f8797abfe7acc391bee",186078,2.2557,1419
"0x89207d195197abcfaef9fae99d5483fcdab14ca5",183054,3.5348,2654
"0xd07a22ef9a4789c7410f7cbd2aebe8fd24aafa94",176866,6.9973,2403
"0x571c285a83eba5322b5f916ba681669dc368a61f",166251,8.0697,3572
"0xcf0d23524683635e78f7eae5bd667056600e5a25",163023,2.5797,1884
"0x79d3f5e3b4d729f994ba221ae2bd3af28a5a6100",159209,2.3896,1756
"0xb034d5eb172a7f47fbae8a554e04cfb5742cf0dc",156515,5.9174,1897
"0xe041d09715148a9a4a7a881a5580da2c0701f2e5",156480,3.1757,3230
"0x5487559b207c980f660774d06cd5ca144377a014",155516,6.0573,6009
"0xdb6ad7e0cd9699f408b2ebe17fb3176be01e4fa3",153666,3.3837,837
"0x5464558ca39f6b527936d2b6ea32c1a7c1a7614e",146186,2.2954,1069
"0x36a708485c603a477804ec74122475647629f03b",144076,5.8078,1428
"0x6fdc687773d4ba8753ea406f4eb2a403051a953f",143060,19.5286,6569
"0x479a6ae3a30326d956b57b83e953c237e4d3efa9",142824,2.3104,1262
"0x5b87d38577b2811179b7aa8f2cddc65d7046b6bd",141930,4.2161,1779
"0xdb86073bf86cc550bdf76e57a1db06d1815c1a3a",131746,5.0744,4856
"0xe28feea8eb5e5f909d574a92f860fa751712a9b0",130329,9.757,14327
"0x6d3c5bd13984b2de47c3a88ddc455309aab3d294",129519,106.6488,959
"0x4b188496d1b3da1716165380999afb9b314c725f",127980,9.126,1018
"0x70befafc948a44c647d463d9b766dcfdc275d900",124587,12.1522,5779
"0x253ad134a7728b899610f8a004cbfc4a12f6af26",123677,15.283,2892
"0x542b546f49025e5e1a76350df7b6fb9f0cd3a0eb",123341,4.5025,1223
"0x537494c54dee9162534675712f2e625c9713042e",121299,4.3618,10958
"0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86",120258,61.1578,4137
"0x30cecdf29f069563ea21b8ae94492e41e53a6b2b",119516,13.9417,3943
